"id","name","is_members","lowalch","highalch","examine"
1623,"Uncut sapphire",False,10,15,"This would be worth more cut."
1621,"Uncut emerald",False,20,30,"This would be worth more cut."
1619,"Uncut ruby",False,40,60,"This would be worth more cut."
1452,"Chaos talisman",True,1,2,"A mysterious power emanates from the talisman..."
1617,"Uncut diamond",False,80,120,"This would be worth more cut."
830,"Rune javelin",True,160,240,"A rune tipped javelin."
987,"Loop half of key",True,40,60,"The loop end of the mysterious Crystal Key. Can you find the other half?"
1247,"Rune spear",True,8320,12480,"A rune tipped spear."
2366,"Shield left half",True,44000,66000,"The left half of a dragon square shield."
1249,"Dragon spear",True,24960,37440,"A dragon tipped spear."
526,"Bones",False,0,0,"Bones are for burying!"
205,"Grimy harralander",True,6,9,"It needs cleaning."
207,"Grimy ranarr weed",True,12,18,"It needs cleaning."
209,"Grimy irit leaf",True,6,10,"It needs cleaning."
211,"Grimy avantoe",True,7,10,"It needs cleaning."
213,"Grimy kwuarm",True,8,12,"It needs cleaning."
215,"Grimy cadantine",True,8,13,"It needs cleaning."
2485,"Grimy lantadyme",True,9,13,"It needs cleaning."
10978,"Swamp weed",True,0,1,"Swamp weed found in the caves near Dorgesh-Kaan."
555,"Water rune",False,1,2,"One of the 4 basic elemental Runes."
995,"Coins",False,"","","Lovely money!"
557,"Earth rune",False,1,2,"One of the 4 basic elemental Runes."
561,"Nature rune",False,72,108,"Used for alchemy spells."
564,"Cosmic rune",False,20,30,"Used for enchant spells."
4698,"Mud rune",True,8,12,"A combined Earth and Water Rune."
199,"Grimy guam leaf",True,5,7,"It needs cleaning."
201,"Grimy marrentill",True,5,8,"It needs cleaning."
203,"Grimy tarromin",True,6,9,"It needs cleaning."
1353,"Steel axe",False,80,120,"A woodcutter's axe."
5296,"Toadflax seed",True,4,6,"A toadflax seed - plant in a herb patch."
5297,"Irit seed",True,2,3,"An irit seed - plant in a herb patch."
1197,"Mithril kiteshield",False,884,1326,"A large metal shield."
5281,"Belladonna seed",True,70,106,"Also known as Deadly Nightshade - plant in a belladonna patch."
5106,"Poison ivy seed",True,66,99,"A poison ivy bush seed - plant in a bush patch."
5280,"Cactus seed",True,39,59,"A Cactus seed - plant in a cactus patch."
22873,"Potato cactus seed",True,56,84,"A Potato cactus seed - plant in a cactus patch."
5300,"Snapdragon seed",True,24,36,"A snapdragon seed - plant in a herb patch."
5301,"Cadantine seed",True,2,4,"A cadantine seed - plant in a herb patch."
5302,"Lantadyme seed",True,3,5,"A lantadyme seed - plant in a herb patch."
22879,"Snape grass seed",True,37,56,"A snape grass seed - plant in an allotment."
3053,"Lava battlestaff",True,6800,10200,"It's a slightly magical stick."
5303,"Dwarf weed seed",True,2,3,"A dwarf weed seed - plant in a herb patch."
5304,"Torstol seed",True,28,42,"A torstol seed - plant in a herb patch."
20543,"Reward casket (elite)",True,20,30,"Cross your fingers and your toes."
23083,"Brimstone key",True,"","","Unlocks Konar's chest found atop Mount Karuulm."
4103,"Mystic robe bottom (dark)",True,32000,48000,"The lower half of a dark magical robe."
25772,"Malicious ashes",True,0,0,"A heap of ashes."
563,"Law rune",False,96,144,"Used for teleport spells."
565,"Blood rune",True,160,240,"Used for high level missile spells."
5100,"Limpwurt seed",True,4,7,"A limpwurt seed - plant in a flower patch."
1073,"Adamant platelegs",False,2560,3840,"These look pretty heavy."
1761,"Soft clay",False,0,1,"Clay soft enough to mould."
361,"Tuna",False,16,24,"Wow, this is a big fish."
1199,"Adamant kiteshield",False,2176,3264,"A large metal shield."
4131,"Rune boots",True,5000,7500,"These will protect my feet."
2722,"Clue scroll (hard)",True,8,12,"A clue!"
562,"Chaos rune",False,36,54,"Used for low level missile spells."
560,"Death rune",False,72,108,"Used for medium level missile spells."
25766,"Fiendish ashes",False,0,0,"A heap of ashes."
884,"Iron arrow",False,1,1,"Arrows with iron heads."
217,"Grimy dwarf weed",True,9,14,"It needs cleaning."
313,"Fishing bait",False,1,1,"For use with a fishing rod."
11940,"Dark fishing bait",True,1,1,"What on earth would eat this?"
559,"Body rune",False,1,1,"Used for curse spells."
590,"Tinderbox",False,0,0,"Useful for lighting a fire."
558,"Mind rune",False,1,1,"Used for basic level missile spells."
7863,"Zombie bone",True,0,0,"This needs a good polish."
6807,"Zombie champion scroll",True,0,0,"It's a challenge from the Zombie Champion!"
23490,"Larran's key",True,36,54,"Opens Larran's chests in the Wilderness."
21257,"Slayer's enchantment",True,480,720,"The parchment contains a spell invented by Slayer Masters in ancient times."
556,"Air rune",False,1,2,"One of the 4 basic elemental Runes."
886,"Steel arrow",False,4,7,"Arrows with steel heads."
1917,"Beer",False,0,1,"A glass of frothy ale."
592,"Ashes",False,0,1,"A heap of ashes."
1420,"Iron mace",False,25,37,"A spiky mace."
554,"Fire rune",False,1,2,"One of the 4 basic elemental Runes."
1139,"Bronze med helm",False,9,14,"A medium sized helmet."
1203,"Iron dagger",False,14,21,"Short but pointy."
1442,"Fire talisman",False,1,2,"A mysterious power emanates from the talisman..."
11941,"Looting bag",True,4,6,"You can store stuff in the bag when you're in the Wilderness."
23182,"Clue scroll (beginner)",False,8,12,"Hopefully leads to treasure."
6806,"Skeleton champion scroll",True,0,0,"It's a challenge from the Skeleton Champion!"
19677,"Ancient shard",True,81,122,"You're not sure what this is, but it feels powerful."
19679,"Dark totem base",True,82,123,"Looks like part of something."
882,"Bronze arrow",False,0,0,"Arrows with bronze heads."
1137,"Iron med helm",False,33,50,"A medium sized helmet."
1279,"Iron sword",False,36,54,"A razor sharp sword."
1349,"Iron axe",False,22,33,"A woodcutter's axe."
1323,"Iron scimitar",False,44,67,"A vicious, curved sword."
2349,"Bronze bar",False,3,4,"It's a bar of bronze."
1265,"Bronze pickaxe",False,0,0,"Used for mining."
436,"Copper ore",False,1,1,"This needs refining."
407,"Oyster",True,80,120,"Maybe there are pearls inside?"
409,"Empty oyster",True,2,3,"Aww, it's empty."
411,"Oyster pearl",True,44,67,"I could work wonders with a chisel on this pearl."
1267,"Iron pickaxe",False,56,84,"Used for mining."
45,"Opal bolt tips",True,2,4,"Opal bolt tips."
1969,"Spinach roll",False,0,0,"A home made spinach thing."
401,"Seaweed",True,0,1,"Slightly damp seaweed."
403,"Edible seaweed",True,0,1,"Slightly damp seaweed."
438,"Tin ore",False,1,1,"This needs refining."
440,"Iron ore",False,6,10,"This needs refining."
453,"Coal",False,18,27,"Hmm a non-renewable energy source!"
25769,"Vile ashes",False,0,0,"A heap of ashes."
13233,"Smouldering stone",True,18000,27000,"A smouldering stone from the depths of Hell."
2859,"Wolf bones",True,0,0,"Bones of a recently slain wolf."
7830,"Wolf bone",True,0,0,"This needs a good polish."
13468,"Ensouled dog head",True,114,171,"The creature's soul is still in here. I could reanimate it with Adept Reanimation."
5282,"Mushroom spore",True,34,51,"A Bittercap mushroom spore - plant in a mushroom patch."
5298,"Avantoe seed",True,3,4,"An avantoe seed - plant in a herb patch."
5299,"Kwuarm seed",True,4,6,"A kwuarm seed - plant in a herb patch."
225,"Limpwurt root",False,2,4,"The root of a limpwurt plant."
288,"Goblin mail",False,16,24,"Armour designed to fit goblins."
11942,"Ecumenical key",True,41000,61500,"An icy key that can access the boss rooms of all four gods."
6802,"Hobgoblin champion scroll",True,0,0,"It's a challenge from the Hobgoblin Champion!"
1237,"Bronze spear",True,10,15,"A bronze tipped spear."
5318,"Potato seed",True,0,1,"A potato seed - plant in an allotment."
5319,"Onion seed",True,1,1,"An onion seed - plant in an allotment."
5324,"Cabbage seed",True,1,1,"A cabbage seed - plant in an allotment."
5322,"Tomato seed",True,1,2,"A tomato seed - plant in an allotment."
5320,"Sweetcorn seed",True,3,4,"A sweetcorn seed - plant in an allotment."
5323,"Strawberry seed",True,7,10,"A strawberry seed - plant in an allotment."
5321,"Watermelon seed",True,22,33,"A watermelon seed - plant in an allotment."
6306,"Trading sticks",True,0,0,"Karamja currency."
1239,"Iron spear",True,36,54,"An iron tipped spear."
826,"Iron javelin",True,2,3,"An iron tipped javelin."
5292,"Marrentill seed",True,0,1,"A marrentill seed - plant in a herb patch."
5104,"Jangerberry seed",True,24,36,"A jangerberry bush seed - plant in a bush patch."
5293,"Tarromin seed",True,1,1,"A tarromin seed - plant in a herb patch."
5311,"Wildblood seed",True,5,8,"A Wildblood hop seed - plant in a hops patch."
5294,"Harralander seed",True,1,2,"A harralander seed - plant in a herb patch."
5295,"Ranarr seed",True,20,30,"A ranarr seed - plant in a herb patch."
5105,"Whiteberry seed",True,53,79,"A whiteberry bush seed - plant in a bush patch."
532,"Big bones",False,0,0,"Ew it's a pile of bones."
7842,"Ogre ribs",True,0,0,"This needs a good polish."
13477,"Ensouled ogre head",True,135,202,"The creature's soul is still in here. I could reanimate it with Adept Reanimation."
10976,"Long bone",True,2,3,"A Construction bone."
10977,"Curved bone",True,2,4,"A curved Construction bone."
534,"Babydragon bones",True,0,0,"Ew it's a pile of bones."
23510,"Tattered moon page",True,0,0,"A torn page detailing the religion of Ranul. Now where is the book?"
23499,"Grubby key",True,12,19,"It looks like the key to a chest."
1157,"Steel full helm",False,220,330,"A full face helmet."
1325,"Steel scimitar",False,160,240,"A vicious, curved sword."
1823,"Waterskin(4)",True,12,18,"A full waterskin with four portions of water."
1109,"Mithril chainbody",False,780,1170,"A series of connected metal rings."
13489,"Ensouled kalphite head",True,173,259,"The creature's soul is still in here. I could reanimate it with Expert Reanimation."
536,"Dragon bones",True,64,96,"These would feed a dog for months!"
1163,"Rune full helm",False,14080,21120,"A full face helmet."
9144,"Runite bolts",True,120,180,"Runite crossbow bolts."
566,"Soul rune",True,120,180,"Used for high level curse spells."
145,"Super attack(3)",True,72,108,"3 doses of super Attack potion."
9431,"Runite limbs",True,6400,9600,"A pair of runite crossbow limbs."
19582,"Dragon javelin heads",True,780,1170,"Needs a shaft."
2353,"Steel bar",False,40,60,"It's a bar of steel."
2363,"Runite bar",False,2000,3000,"It's a bar of runite."
165,"Super defence(2)",True,79,118,"2 doses of super Defence potion."
2011,"Curry",True,8,12,"It's a spicy hot curry."
4585,"Dragon plateskirt",True,108000,162000,"This looks pretty heavy."
817,"Rune dart(p)",True,140,210,"A deadly poisoned dart with a rune tip."
12073,"Clue scroll (elite)",True,8,12,"A clue!"
11286,"Draconic visage",True,300000,450000,"It looks like this could be attached to a shield somehow."
1432,"Rune mace",False,5760,8640,"A spiky mace."
868,"Rune knife",True,66,100,"A finely balanced throwing knife."
301,"Lobster pot",False,8,12,"Useful for catching lobsters."
345,"Raw herring",False,4,6,"I should try cooking this."
327,"Raw sardine",False,4,6,"I should try cooking this."
311,"Harpoon",False,2,3,"Useful for catching really big fish."
314,"Feather",False,0,1,"Used for fly fishing."
377,"Raw lobster",False,28,42,"I should try cooking this."
413,"Oyster pearls",True,560,840,"I could work wonders with a chisel on these pearls."
7857,"Dagannoth ribs",True,0,0,"This needs a good polish."
13492,"Ensouled dagannoth head",True,182,273,"The creature's soul is still in here. I could reanimate it with Expert Reanimation."
828,"Mithril javelin",True,25,38,"A mithril tipped javelin."
1515,"Yew logs",False,64,96,"Logs cut from a yew tree."
2361,"Adamantite bar",False,256,384,"It's a bar of adamantite."
444,"Gold ore",False,60,90,"This needs refining."
1731,"Amulet of power",False,1410,2115,"An enchanted diamond amulet of power."
11237,"Dragon arrowtips",True,200,300,"Dragon talons, usable as arrowheads."
1747,"Black dragonhide",True,60,90,"The scaly rough hide from a Black Dragon."
385,"Shark",True,68,102,"I'd better be careful eating this."
11920,"Dragon pickaxe",True,39180,58770,"If rocks could feel fear, they'd fear this."
1303,"Rune longsword",False,12800,19200,"A razor sharp longsword."
1123,"Adamant platebody",False,6656,9984,"Provides excellent protection."
7980,"Kbd heads",True,20000,30000,"I should get them stuffed!"
12653,"Prince black dragon",True,"","","Not quite the full royalty yet."
1283,"Black sword",False,249,374,"A razor sharp sword."
379,"Lobster",False,28,42,"This looks tricky to eat."
133,"Defence potion(3)",True,48,72,"3 doses of Defence potion."
13501,"Ensouled demon head",True,210,316,"The creature's soul is still in here. I could reanimate it with Expert Reanimation."
7839,"Baby dragon bone",True,0,0,"This needs a good polish."
892,"Rune arrow",True,160,240,"Arrows with rune heads."
1315,"Mithril 2h sword",False,1040,1560,"A two handed sword."
1897,"Chocolate cake",False,28,42,"This looks very tasty."
1355,"Mithril axe",False,208,312,"A powerful axe."
13510,"Ensouled dragon head",True,260,390,"The creature's soul is still in here. I could reanimate it with Master Reanimation."
811,"Rune dart",True,140,210,"A deadly throwing dart with a rune tip."
829,"Adamant javelin",True,64,96,"An adamant tipped javelin."
816,"Adamant dart(p)",True,26,39,"A deadly poisoned dart with an adamant tip."
1069,"Steel platelegs",False,400,600,"These look pretty heavy."
365,"Bass",True,16,24,"Wow, this is a big fish."
449,"Adamantite ore",False,160,240,"This needs refining."
1243,"Mithril spear",True,338,507,"A mithril tipped spear."
1751,"Blue dragonhide",True,56,84,"The scaly rough hide from a Blue Dragon."
1161,"Adamant full helm",False,1408,2112,"A full face helmet."
9142,"Mithril bolts",True,8,12,"Mithril crossbow bolts."
373,"Swordfish",False,32,48,"I'd better be careful eating this!"
1183,"Adamant sq shield",False,1536,2304,"A medium square shield."
9143,"Adamant bolts",True,23,34,"Adamantite crossbow bolts."
