"id","name","combat_level","wiki_url"
1,"Molanisk",51,"https://oldschool.runescape.wiki/w/Molanisk"
2,"Aberrant spectre",96,"https://oldschool.runescape.wiki/w/Aberrant_spectre"
8,"Nechryael",115,"https://oldschool.runescape.wiki/w/Nechryael#Normal"
10,"Death spawn",46,"https://oldschool.runescape.wiki/w/Death_spawn"
11,"Nechryael",115,"https://oldschool.runescape.wiki/w/Nechryael#Slayer_task"
26,"Zombie",13,"https://oldschool.runescape.wiki/w/Zombie#Level_13"
42,"Zombie",18,"https://oldschool.runescape.wiki/w/Zombie#Level_18"
49,"Zombie",24,"https://oldschool.runescape.wiki/w/Zombie#Level_24"
64,"Zombie",25,"https://oldschool.runescape.wiki/w/Zombie_(Entrana_Dungeon)#1"
65,"Zombie",25,"https://oldschool.runescape.wiki/w/Zombie_(Entrana_Dungeon)#2"
66,"Zombie",25,"https://oldschool.runescape.wiki/w/Zombie_(Entrana_Dungeon)#3"
67,"Zombie",25,"https://oldschool.runescape.wiki/w/Zombie_(Entrana_Dungeon)#4"
68,"Zombie",25,"https://oldschool.runescape.wiki/w/Zombie_(Entrana_Dungeon)#5"
69,"Summoned Zombie",13,"https://oldschool.runescape.wiki/w/Summoned_Zombie"
70,"Skeleton",22,"https://oldschool.runescape.wiki/w/Skeleton#Level_22"
74,"Skeleton",21,"https://oldschool.runescape.wiki/w/Skeleton#Level_21"
77,"Skeleton",25,"https://oldschool.runescape.wiki/w/Skeleton#Level_25"
82,"Skeleton",45,"https://oldschool.runescape.wiki/w/Skeleton#Level_45"
84,"Skeleton Mage",16,"https://oldschool.runescape.wiki/w/Skeleton_Mage#Level_16"
85,"Ghost",19,"https://oldschool.runescape.wiki/w/Ghost#Level_19"
100,"Rock Crab",13,"https://oldschool.runescape.wiki/w/Rock_Crab#Active"
104,"Hellhound",122,"https://oldschool.runescape.wiki/w/Hellhound#Level_122"
106,"Wolf",64,"https://oldschool.runescape.wiki/w/Wolf#Level_64"
107,"White wolf",25,"https://oldschool.runescape.wiki/w/White_wolf#Level_25"
108,"White wolf",38,"https://oldschool.runescape.wiki/w/White_wolf#Level_38"
109,"Big Wolf",73,"https://oldschool.runescape.wiki/w/Big_Wolf#White_Wolf_Mountain"
110,"Wolf",25,"https://oldschool.runescape.wiki/w/Wolf#Level_25"
112,"Wild dog",63,"https://oldschool.runescape.wiki/w/Wild_dog#Normal"
113,"Wild dog",63,"https://oldschool.runescape.wiki/w/Wild_dog#Unused"
114,"Guard dog",44,"https://oldschool.runescape.wiki/w/Guard_dog"
115,"Big Wolf",73,"https://oldschool.runescape.wiki/w/Big_Wolf#Feldip_Hills"
130,"Skeleton",22,"https://oldschool.runescape.wiki/w/Skeleton_guard"
131,"Guard dog",44,"https://oldschool.runescape.wiki/w/Guard_dog_(Construction)"
132,"Hobgoblin",54,"https://oldschool.runescape.wiki/w/Hobgoblin_guard"
136,"Ogre",53,"https://oldschool.runescape.wiki/w/Ogre#Level_53"
137,"Baby red dragon",65,"https://oldschool.runescape.wiki/w/Baby_red_dragon_(Construction)"
138,"Kalphite Soldier",85,"https://oldschool.runescape.wiki/w/Kalphite_soldier_(Construction)"
139,"Steel dragon",246,"https://oldschool.runescape.wiki/w/Steel_dragon_(Construction)"
140,"Dagannoth",135,"https://oldschool.runescape.wiki/w/Dagannoth_(Construction)"
231,"Wolf",25,"https://oldschool.runescape.wiki/w/Wolf#Level_11"
232,"Jungle Wolf",64,"https://oldschool.runescape.wiki/w/Jungle_Wolf"
